	BIGG	Name	CHEBI
0	15dap	1,5-diaminopentane	CHEBI:13928
0	23ddhb	2,3-dihydro-2,3-dihydroxybenzoate	CHEBI:11420
0	23dhba	(2,3-dihydroxybenzoyl)adenylate	CHEBI:10846
0	23dhbzs	2,3-dihydroxybenzoylserine	CHEBI:12428
0	26dap_LL	ll-2,6-diaminoheptanedioate	CHEBI:13192
0	2agpe160	2-acyl-sn-glycero-3-phosphoethanolamine (n-c16:0)	CHEBI:131743
0	2aobut	l-2-amino-3-oxobutanoate	CHEBI:13048
0	2dh3dgal6p	2-dehydro-3-deoxy-d-galactonate 6-phosphate	CHEBI:1057
0	2dhp	2-dehydropantoate	CHEBI:1071
0	2dmmql8	2-demethylmenaquinol 8	CHEBI:61873
0	2h3oppan	2-hydroxy-3-oxopropanoate	CHEBI:1123
0	2ohph	2-octaprenyl-6-hydroxyphenol	CHEBI:1233
0	2ombzl	2-octaprenyl-6-methoxy-1,4-benzoquinol	CHEBI:60655
0	2omph	2-octaprenyl-6-methoxyphenol	CHEBI:1235
0	2oph	2-octaprenylphenol	CHEBI:1236
0	2pglyc	2-phosphoglycolate	CHEBI:11652
0	35cgmp	3',5'-cyclic gmp	CHEBI:11675
0	3c2hmp	3-carboxy-2-hydroxy-4-methylpentanoate	CHEBI:11760
0	3c3hmp	3-carboxy-3-hydroxy-4-methylpentanoate	CHEBI:1178
0	3c4mop	3-carboxy-4-methyl-2-oxopentanoate	CHEBI:11765
0	3dhq	3-dehydroquinate	CHEBI:11781
0	3haACP	(3r)-3-hydroxyacyl-[acyl-carrier protein]	CHEBI:84648
0	3hadpcoa	(3s)-3-hydroxyadipyl-coa	CHEBI:132183
0	3hdcoa	(s)-3-hydroxydecanoyl-coa	CHEBI:18779
0	3hhdcoa	(s)-3-hydroxyhexadecanoyl-coa	CHEBI:18752
0	3hocoa	(s)-3-hydroxyoctanoyl-coa	CHEBI:18750
0	3hpppn	3-(3-hydroxy-phenyl)propionate	CHEBI:1427
0	3mop	(s)-3-methyl-2-oxopentanoate	CHEBI:10888
0	3odcoa	3-oxodecanoyl-coa	CHEBI:1633
0	3ohcoa	3-oxohexanoyl-coa	CHEBI:1641
0	3opalmACP	3-oxohexadecanoyl-[acyl-carrier protein]	CHEBI:1639
0	3pg	3-phospho-d-glycerate	CHEBI:11879
0	4h2opntn	4-hydroxy-2-oxopentanoate	CHEBI:11994
0	5aizc	5-amino-1-(5-phospho-d-ribosyl)imidazole-4-carboxylate	CHEBI:12103
0	5aop	5-amino-4-oxopentanoate	CHEBI:12109
0	5mta	5-methylthioadenosine	CHEBI:12055
0	5mtr	5-methylthio-d-ribose	CHEBI:12148
0	6pgc	6-phospho-d-gluconate	CHEBI:12232
0	acald	acetaldehyde	CHEBI:13703
0	acetol	acetol cytosol	CHEBI:24666
0	acglu	n-acetyl-l-glutamate	CHEBI:12575
0	acorn	n2-acetyl-l-ornithine	CHEBI:12634
0	acser	o-acetyl-l-serine	CHEBI:12685
0	actp	acetyl phosphate	CHEBI:13711
0	adp	adp c10h12n5o10p2	CHEBI:13222
0	adprib	adpribose c15h21n5o14p2	CHEBI:13231
0	ag	silver	CHEBI:30051
0	ahdt	2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	CHEBI:1002
0	akg	2-oxoglutarate	CHEBI:11638
0	ala_B	beta-alanine	CHEBI:10343
0	ala__L	l-alanine	CHEBI:13069
0	all6p	d-allose 6-phosphate	CHEBI:12907
0	amet	s-adenosyl-l-methionine	CHEBI:10786
0	ametam	s-adenosylmethioninamine	CHEBI:10906
0	arab__L	l-arabinose	CHEBI:6182
0	argtrna	l-arginyl-trna(arg)	CHEBI:13079
0	aso3	arsenite	CHEBI:13857
0	btal	butanal c4h8o	CHEBI:13923
0	btcoa	butanoyl-coa	CHEBI:13926
0	btn	biotin	CHEBI:13905
0	btnso	d-biotin d-sulfoxide	CHEBI:62046
0	cbasp	n-carbamoyl-l-aspartate	CHEBI:12496
0	cdpdodecg	cdp-1,2-dioctadecanoylglycerol	CHEBI:104121
0	cdpdtdecg	cdp-1,2-ditetradecanoylglycerol	CHEBI:103211
0	crn	l-carnitine	CHEBI:11817
0	ctbtcoa	crotonobetainyl-coa	CHEBI:60933
0	cys__L	l-cysteine	CHEBI:13095
0	cyst__L	l-cystathionine	CHEBI:13093
0	cytd	cytidine	CHEBI:14063
0	datp	datp c10h12n5o12p3	CHEBI:10491
0	dcamp	n6-(1,2-dicarboxyethyl)-amp	CHEBI:12656
0	dgdp	dgdp c10h12n5o10p2	CHEBI:10495
0	dgslnt	selenodiglutathione	CHEBI:26634
0	dgtp	dgtp c10h12n5o13p3	CHEBI:10497
0	dha	dihydroxyacetone	CHEBI:14340
0	dhnpt	dihydroneopterin	CHEBI:1001
0	dimp	dimp c10h12n4o7p	CHEBI:19250
0	din	deoxyinosine	CHEBI:19248
0	dmpp	dimethylallyl diphosphate	CHEBI:12280
0	dtdpglu	dtdpglucose	CHEBI:10526
0	dttp	dttp c10h13n2o14p3	CHEBI:10530
0	dump	dump c9h11n2o8p	CHEBI:10532
0	dutp	dutp c9h11n2o14p3	CHEBI:10533
0	eig3p	d-erythro-1-(imidazol-4-yl)glycerol 3-phosphate	CHEBI:12888
0	f1p	d-fructose 1-phosphate	CHEBI:20930
0	fad	flavin adenine dinucleotide oxidized	CHEBI:13315
0	fe2	fe2+ mitochondria	CHEBI:13319
0	fecrm	ferrichrome	CHEBI:5019
0	feoxam	generic ferrioxamine-fe-iii	CHEBI:5044
0	forcoa	formyl-coa(4-)	CHEBI:14282
0	frdp	farnesyl diphosphate	CHEBI:10700
0	fruur	d-fructuronate	CHEBI:12927
0	fuc__L	l-fucose	CHEBI:48204
0	g3pc	sn-glycero-3-phosphocholine	CHEBI:10646
0	g3pe	sn-glycero-3-phosphoethanolamine	CHEBI:10647
0	g3pi	sn-glycero-3-phospho-1-inositol	CHEBI:10645
0	gdpofuc	gdp-4-oxo-l-fucose	CHEBI:21155
0	gdptp	guanosine 3'-diphosphate 5'-triphosphate	CHEBI:14378
0	ghb	gamma-hydroxybutyrate	CHEBI:12006
0	glcn	d-gluconate	CHEBI:12955
0	glu__D	d-glutamate	CHEBI:12979
0	glyc__R	(r)-glycerate	CHEBI:10999
0	glyc2p	glycerol 2-phosphate	CHEBI:14337
0	glyclt	glycolate c2h3o3	CHEBI:14348
0	grdp	geranyl diphosphate	CHEBI:14299
0	h	h+	CHEBI:10744
0	h2	hydrogen	CHEBI:13350
0	h2o	h2o h2o	CHEBI:10743
0	hcys__L	l-homocysteine	CHEBI:13122
0	hdca	hexadecanoate (n-c16:0)	CHEBI:14730
0	hdd2coa	trans-hexadec-2-enoyl-coa	CHEBI:10728
0	hg2	mercury  charged 2  hg	CHEBI:13370
0	hhlipa	heptosyl-heptosyl-kdo2-lipida	CHEBI:61507
0	his__L	l-histidine	CHEBI:13117
0	hkndd	2-hydroxy-6-oxonona-2,4-diene-1,9-dioate	CHEBI:1140
0	hlipa	heptosyl-kdo2-lipida	CHEBI:61502
0	hom__L	l-homoserine	CHEBI:13123
0	hxan	hypoxanthine	CHEBI:14431
0	imp	imp c10h11n4o8p	CHEBI:12057
0	indole	indole	CHEBI:14444
0	kdo2lipid4L	kdo(2)-lipid iv(a) with laurate	CHEBI:25015
0	kdo8p	3-deoxy-d-manno-octulosonate 8-phosphate	CHEBI:11552
0	lcts	lactose c12h22o11	CHEBI:10296
0	lipa	kdo(2)-lipid (a)	CHEBI:23656
0	lipa_cold	cold adapted kdo(2)-lipid (a)	CHEBI:61522
0	lipidAds	lipid a disaccharide	CHEBI:11414
0	lipidX	2,3-bis(3-hydroxytetradecanoyl)-beta-d-glucosaminyl 1-phosphate	CHEBI:11413
0	malcoame	malonyl-coa methyl ester	CHEBI:71242
0	malt	maltose c12h22o11	CHEBI:10300
0	malt6p	maltose 6'-phosphate	CHEBI:111006
0	malthx	maltohexaose	CHEBI:25141
0	maltpt	maltopentaose	CHEBI:61952
0	mercppyr	mercaptopyruvate	CHEBI:11847
0	met__L	l-methionine	CHEBI:13141
0	metsox_S__L	l-methionine sulfoxide	CHEBI:13142
0	micit	methylisocitrate	CHEBI:10869
0	mpt	molybdopterin	CHEBI:44067
0	msa	malonate semialdehyde	CHEBI:11877
0	nad	nicotinamide adenine dinucleotide	CHEBI:13393
0	ni2	nickel	CHEBI:25517
0	nicrnt	nicotinate d-ribonucleotide	CHEBI:12398
0	oaa	oxaloacetate	CHEBI:12820
0	ocdcea	octadecenoate (n-c18:1)	CHEBI:104361
0	pant__R	(r)-pantoate	CHEBI:11006
0	pe160	phosphatidylethanolamine (dihexadecanoyl, n-c16:0)	CHEBI:73005
0	phe__L	l-phenylalanine	CHEBI:13151
0	ppap	propanoyl phosphate	CHEBI:58933
0	ppbng	porphobilinogen	CHEBI:14867
0	ppp9	protoporphyrin	CHEBI:14959
0	pppg9	protoporphyrinogen ix	CHEBI:14962
0	preq0	7-cyano-7-carbaguanine	CHEBI:45075
0	preq1	7-aminomethyl-7-deazaguanine	CHEBI:45126
0	prlp	5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	CHEBI:12100
0	progly	l-prolinylglycine	CHEBI:61695
0	prpp	5-phospho-alpha-d-ribose 1-diphosphate	CHEBI:12159
0	psclys	psicoselysine	CHEBI:61403
0	pser__L	o-phospho-l-serine	CHEBI:12718
0	pydx	pyridoxal	CHEBI:131530
0	pydx5p	pyridoxal 5'-phosphate	CHEBI:14977
0	q8h2	ubiquinol-8	CHEBI:61682
0	quln	quinolinate	CHEBI:132942
0	r15bp	d-ribose 1,5-bisphosphate	CHEBI:13012
0	r1p	alpha-d-ribose 1-phosphate	CHEBI:10269
0	r5p	alpha-d-ribose 5-phosphate	CHEBI:10270
0	rdmbzi	n1-(alpha-d-ribosyl)-5,6-dimethylbenzimidazole	CHEBI:10329
0	rib__D	d-ribose	CHEBI:13011
0	ribflv	riboflavin c17h20n4o6	CHEBI:15044
0	rml	l-rhamnulose	CHEBI:13161
0	rml1p	l-rhamnulose 1-phosphate	CHEBI:13162
0	s7p	sedoheptulose 7-phosphate	CHEBI:15073
0	sbt6p	d-sorbitol 6-phosphate	CHEBI:13021
0	sel	selenate	CHEBI:15075
0	selnp	selenophosphate	CHEBI:15078
0	ser__D	d-serine	CHEBI:13019
0	suc6p	sucrose 6-phosphate	CHEBI:131603
0	succ	succinate	CHEBI:132287
0	sucorn	n2-succinyl-l-ornithine	CHEBI:21822
0	tagdp__D	d-tagatose 1,6-biphosphate	CHEBI:13024
0	tartr__D	d-tartrate	CHEBI:11077
0	thr__L	l-threonine	CHEBI:13175
0	thrtrna	l-threonyl-trna(thr)	CHEBI:13176
0	thymd	thymidine c10h14n2o5	CHEBI:15244
