	BIGG	RHEA	EC-number
0	DM_4crsol_c	35071	
0	EX_3hpp_e	34951	
0	EX_LalaDglu_e	35127	
0	EX_arbt_e	35023	
0	EX_btn_e	28458	
0	EX_ca2_e	29671	3.6.3.8
0	EX_cl_e	29823	
0	EX_crn__D_e	35067	
0	EX_cu2_e	28703	
0	EX_cys__L_e	29655	
0	EX_dmso_e	29699	
0	EX_doxrbcn_e	35079	
0	EX_fe2_e	28486	
0	EX_fe3_e	34971	
0	EX_frulys_e	28454	
0	EX_g3pc_e	32911	
0	EX_gal_e	34915	
0	EX_galct__D_e	28478	
0	EX_gbbtn_e	32835	
0	EX_glcr_e	28474	
0	EX_glyc3p_e	34967	
0	EX_hdca_e	45256	
0	EX_inost_e	32867	
0	EX_k_e	29463	
0	EX_lac__L_e	34987	
0	EX_lipoate_e	29755	
0	EX_na1_e	34963	
0	EX_no2_e	28983	
0	EX_no3_e	34923	
0	EX_ocdcea_e	33655	
0	EX_pnto__R_e	34975	
0	EX_pppn_e	29747	
0	EX_pydam_e	28466	
0	EX_pydx_e	28462	
0	EX_rmn_e	34995	
0	EX_sel_e	34887	
0	EX_ser__D_e	29455	
0	EX_so4_e	34983	
0	EX_spmd_e	35039	
0	EX_thr__L_e	35019	
0	EX_ttrcyc_e	35239	
0	EX_urea_e	32799	
0	EX_val__L_e	29703	
0	EX_zn2_e	29351	
0	23PDE2pp	27878	3.1.4.16
0	23PDE9pp	27858	3.1.4.16
0	3HAD121		4.2.1.61
0	3HAD160		2.3.1.-
0	3HAD161		4.2.1.61
0	3HAD180		2.3.1.-
0	3HAD80		2.3.1.-
0	3HPPtex	34951	
0	3KGK	28222	2.7.1.53
0	3NTD2pp	27890	3.1.3.6
0	3NTD9pp	27862	3.1.3.6
0	3OAR120	17397	1.1.1.100
0	3OAR121	17397	1.1.1.100
0	3OAR141	17397	1.1.1.100
0	3OAR160	17397	1.1.1.100
0	3OAR161	17397	1.1.1.100
0	3OAR180	17397	1.1.1.100
0	3OAS100	22896	2.3.1.86
0	3OAS120	22896	2.3.1.86
0	3OAS140	22896	2.3.1.86
0	3OAS161	22836	2.3.1.41
0	3OAS60	22896	2.3.1.86
0	4HTHRS	30659	4.2.3
0	5DGLCNt2rpp	28819	
0	5DOAN	29859	
0	5MTRtex	34955	
0	A5PISO	23104	5.3.1.13
0	AACPS6	45588	6.2.1.20
0	AACPS9		6.2.1.l
0	ABTA	23352	2.6.1.19
0	ABUTt2pp	28915	
0	ACACT2r	31111	2.3.1.16
0	ACACT3r	21036	2.3.1.9
0	ACACT4r	31087	2.3.1.16
0	ACACT5r	21036	2.3.1.9
0	ACACtex	29751	
0	ACBIPGT	22712	2.7.7.62
0	ACCOAL	15081	6.2.1.13
0	ACGAM1PPpp	19933	3.1.3.10
0	ACGS	24292	2.3.1.1
0	ACLS	25249	2.2.1.6
0	ACMAMUT	28366	2.4.1.180
0	ACNAMt2pp	28987	
0	ACNML	23296	4.1.3.3
0	ACOAD1f	24004	1.3.3.6
0	ACOAD5f	31039	1.3.3.6
0	ACOAD7f	30747	1.3.3.6
0	ACOAD8f	40843	
0	ACOATA		2.3.1.-
0	ACODA	15941	3.5.1.14
0	ACONIs	17265	5.3.3.7
0	ACONMT	14969	2.1.1.144
0	ACOTA	18049	2.6.1.11
0	ACSERtpp	29659	
0	ACtex	27814	
0	ADCL	16201	4.1.3.38
0	ADCS	11672	2.6.1.85
0	ADD	23688	3.5.4.2
0	ADEt2rpp	28719	
0	ADK3	29863	2.7.4.10
0	ADNCYC	15389	4.6.1.1
0	ADNK1	20824	2.7.1.20
0	ADNUC	18669	3.2.2.1
0	ADNt2pp	29987	
0	ADOCBLS	16049	2.7.8.26
0	ADPT	16609	2.4.2.7
0	ADSK	24152	2.7.1.25
0	ADSS	15753	6.3.4.4
0	AGMT	13929	3.5.3.11
0	AGPAT161	19709	2.3.1.51
0	AGPAT180	19709	2.3.1.51
0	AIRC2	19317	6.3.4.18
0	ALAALAr	11224	6.3.2.4
0	ALATA_D2	28562	
0	ALATA_L	19453	2.6.1.2
0	ALATA_L2	30023	
0	ALATRS	12540	6.1.1.7
0	ALAt2pp	29443	
0	ALCD2x	25290	1.1.1.1
0	ALLK	14805	2.7.1.55
0	ALLTAMH	32279	3.5.3.9
0	ALTRH	15957	4.2.1.7
0	AMALT3		2.4.1.25
0	AMANAPEr	25257	5.1.3.9
0	AMANK	25253	2.7.1.60
0	AMAOTr	16861	2.6.1.62
0	AMPN	20129	3.2.2.4
0	ANPRT	11768	2.4.2.18
0	AP4AS	34935	2.7.7
0	AP5AH	30527	3.6.1.61
0	ARAI	14821	5.3.1.4
0	ARBabcpp		3.6.3.17
0	ARGAGMt7pp	29651	
0	ARGDC	17641	4.1.1.19
0	ARGDCpp	17641	4.1.1.19
0	ARGSS	10932	6.3.4.5
0	ARGTRS	20301	6.1.1.19
0	ARGtex	32143	
0	ASAD	24284	1.2.1.11
0	ASCBPL	28803	3.1.1
0	ASNN	21016	3.5.1.1
0	ASNS2	11372	6.3.1.1
0	ASPO3	28683	
0	ASPO4	29191	
0	ASPT	16601	4.3.1.1
0	ASPTA	21824	2.6.1.1
0	ASPTRS	19649	6.1.1.12
0	ASPabcpp	29039#1	3.6.3.21
0	ASPt2_2pp	29287	
0	AST	15185	2.3.1.109
0	ATHRDHr	30055	1.1.1.381
0	ATPHs	13037	3.5.4.17
0	ATPM	13065	3.6.1.15
0	ATPS4rpp		3.6.3.14
0	BALAt2pp	29459	
0	BETALDHx	15305	1.2.1.8
0	BUTCT	13381	2.8.3.8
0	CA2tex	29671	3.6.3.8
0	CBIuabcpp		3.6.3.33
0	CBL1abcpp		3.6.3.33
0	CBMKr	10152	2.7.2.2
0	CBPS	18633	6.3.5.5
0	CCGS	27982	6.3.4.20
0	CD2abcpp	12132#1	3.6.3.3
0	CD2t3pp	28739	
0	CDAPPA140	15221	3.6.1.26
0	CDAPPA141	15221	3.6.1.26
0	CDAPPA180	15221	3.6.1.26
0	CDGR	13409	1.7.1.13
0	CDPMEK	18437	2.7.1.148
0	CFAS160E	11988	2.1.1.79
0	CFAS180E	11988	2.1.1.79
0	CHLt2pp	28843	
0	CHORM	13897	5.4.99.5
0	CHRPL	16505	4.1.3.40
0	CINNDO	25058	1.14.12.19
0	CITL	10760	4.1.3.6
0	CITtex	33183	
0	CLt3_2pp	29567	
0	CLtex	29823	
0	CMPN	13425	3.2.2.10
0	COBALT2abcpp	32779	
0	CPMPS		4.1.99.18
0	CRNBTCT	28418	2.8.3.21
0	CRNDCAL2	30543	
0	CRNtex	34959	
0	CS	16845	2.3.3.1
0	CSND	20605	3.5.4.1
0	CSNt2pp	29935	
0	CTECOAI6	23716	5.3.3.8
0	CTECOAI7	23716	5.3.3.8
0	CTECOAI8	23716	5.3.3.8
0	CU1Opp	30083	1.16.3
0	CU2tex	28703	
0	CU2tpp	28703	
0	CYANST	16881	2.8.1.1
0	CYNTAH	11120	4.2.1.104
0	CYSTL	13965	4.4.1.8
0	CYSTRS	14305	6.1.1.15
0	CYSabc2pp	29783#1	3.6.3.21
0	CYStpp	29655	
0	CYTD	16069	3.5.4.5
0	CYTDt2pp	29983	
0	DADNt2pp	29979	
0	DAGK160	10272	2.7.1.107
0	DALAt2pp	28903	
0	DAPDC	15101	4.1.1.20
0	DASYN140	16229	2.7.7.41
0	DASYN161	16229	2.7.7.41
0	DCTPD	22680	3.5.4.13
0	DCYTD	13433	3.5.4.5
0	DCYTt2pp	29975	
0	DDGLCNt2rpp	29943	
0	DDGLK	14797	2.7.1.178
0	DGK1	12697	2.7.4.12
0	DHACOAH	34863	4.2.1.17
0	DHAD1	24809	4.2.1.9
0	DHBD	23824	1.3.1.28
0	DHCIND	25066	1.3.1.87
0	DHCINDO	23840	1.13.11.16
0	DHFR	15009	1.5.1.3
0	DHFS	23584	6.3.2.12
0	DHNAOT4	30099	2.5.1.74
0	DHORD2	28687	
0	DHPPDA2	21868	3.5.4.26
0	DHPTDNR	17865	1.5.1.34
0	DHPTPE		5.1.99.d
0	DHQS	21968	4.2.3.4
0	DKGLCNR2x	30103	
0	DKGLCNR2y	27634	1.1.1
0	DMATT	22408	2.5.1.1
0	DMSOR1	29203	
0	DMSOR2	30587	
0	DMSOtex	29699	
0	DPR	16233	1.1.1.169
0	DSERDHr	30107	
0	DTMPK	13517	2.7.4.12
0	DURIK1	28206	2.7.1.145
0	DURIt2pp	29967	
0	DUTPDP	10248	3.6.1.-
0	DXPRIi	13717	1.1.1.267
0	E4PD	12056	1.2.1.72
0	EAR100x		2.3.1.-
0	EAR100y	22896	2.3.1.86
0	EAR120y	22896	2.3.1.86
0	EAR140y	22896	2.3.1.86
0	EAR141x	10240	1.3.1.9
0	EAR161x	10240	1.3.1.9
0	EAR161y	22564	1.3.1.10
0	EAR180x	10240	1.3.1.9
0	EAR180y	22564	1.3.1.10
0	EAR181x	10240	1.3.1.9
0	EAR181y	22564	1.3.1.10
0	EAR40y	22896	2.3.1.86
0	EAR60y	22896	2.3.1.86
0	EAR80y	22896	2.3.1.86
0	ECOAH1	26558	4.2.1.150
0	ECOAH2	30547	4.2.1.17
0	ECOAH4	31191	4.2.1.17
0	ECOAH6	31171	4.2.1.17
0	ECOAH8	45812	4.2.1.134
0	EDTXS1	28442	2.3.1.241
0	ENTERES	28018	3.1.1
0	ENTERES2	30111	3.1.1
0	EPMEACPR	22564	1.3.1.10
0	ETHAAL	15313	4.3.1.7
0	ETHAtex	32747	
0	ETOHtex	35267	
0	ETOHtrpp	35267	
0	F6PA	28002	4.1.2
0	FA100ACPHi	30119	3.1.2.21
0	FA140ACPHi	15057	3.1.2.14
0	FA141ACPHi	15057	3.1.2.14
0	FA160ACPHi	15057	3.1.2.14
0	FA161ACPHi	15057	3.1.2.14
0	FACOAE100	16645	3.1.2.2
0	FACOAE140	16645	3.1.2.2
0	FACOAE160	16645	3.1.2.2
0	FACOAE180	30139	3.1.2.2
0	FACOAE80	30143	
0	FACOAL180t2pp	51720	
0	FADRx2	30151	1.5.1.30
0	FALDH2	19985	1.1.1
0	FBA	14729	4.1.2.13
0	FBP	11064	3.1.3.11
0	FCI	13849	5.3.1.3
0	FCLK	12376	2.7.1.51
0	FCLT	22584	4.99.1.1
0	FDH4pp	29075	
0	FDMO2	29307	1.14.14.34
0	FDMO3	29727	
0	FE2t2pp	29579	
0	FE2tex	28486	
0	FE2tpp	28486	
0	FE3Ri	30155	
0	FE3tex	34971	
0	FECRMabcpp		3.6.3.34
0	FORCT	16545	2.8.3.16
0	FORtex	29679	
0	FORtppi	29679	
0	FRD2	29215	
0	FRD3		1.3.99.1
0	FRUURt2rpp	28871	
0	FTHFLi	20221	6.3.4.3
0	FUM	12460	4.2.1.2
0	FUSAtex	35103	
0	G1PACT	13725	2.3.1.157
